chr     start   end     name    gieStain
NC_045512.2     1       265     5UTR    gneg
NC_045512.2     266     21555   ORF1ab  gpos25
NC_045512.2     21563   25384   S       gpos50
NC_045512.2     25393   26220   ORF3a   gpos75
NC_045512.2     26245   26472   E       gpos100
NC_045512.2     26523   27191   M       gpos25
NC_045512.2     27202   27387   ORF6    gpos50
NC_045512.2     27394   27759   ORF7a   gpos75
NC_045512.2     27756   27887   ORF7b   gpos100
NC_045512.2     27894   28259   ORF8    gpos25
NC_045512.2     28274   29533   N       gpos50
NC_045512.2     29558   29674   ORF10   gpos75
NC_045512.2     29675   29903   3UTR    gneg
